,id,name,author,title,description,url,urlToImage,publishedAt,content
0,,Www.jn.pt,Jorge Manuel Lopes,"Ricky Gervais, o misantropo autossatisfeito","Espetáculo ""SuperNature"" chega à Netflix. Nada muda no mundo do comediante britãnico.",https://www.jn.pt/artes/ricky-gervais-o-misantropo-autossatisfeito--14916692.html,https://static.globalnoticias.pt/jn/image.jpg?brand=JN&type=generate&guid=fa3ada82-b9ab-4b51-b27b-b58dc3372f33&w=800&h=420&watermark=true&t=20220604192500,2022-06-04T18:38:50Z,"Espetáculo ""SuperNature"" chega à Netflix. Nada muda no mundo do comediante britãnico.
Foi com o espetáculo ""SuperNature"" que Ricky Gervais atravessou os anos da pandemia, numa digressão acidentada q… [+1914 chars]"
1,,Terra.com.br,Estadão Conteúdo,Vinicius Poit: 'Terceira via em São Paulo é a nossa candidatura',"Pré-candidato ao governo paulista pelo Novo, Vinicius Poit, de 36 anos, considera ser o único nome com atributos da 'nova política' capaz de impedir que a...","https://www.terra.com.br/noticias/brasil/politica/vinicius-poit-terceira-via-em-sao-paulo-e-a-nossa-candidatura,87d7e4af3160d7656146987c845908e1pr95hksl.html",https://s1.trrsf.com/fe/zaz-mod-t360-icons/svg/logos/terra-16x9-borda.png,2022-06-02T11:58:35Z,"Pré-candidato ao governo paulista pelo Novo, Vinicius Poit, de 36 anos, considera ser o único nome com atributos da 'nova política' capaz de impedir que a polarização nacional entre petistas e bolson… [+2699 chars]"
2,,Www.dn.pt,Fernanda Câncio,"Interrupção de gravidez cai 18,8% entre 2018 e 2021. Aumenta quota no privado","Há finalmente dados sobre interrupção da gravidez na pandemia. A variação face a 2018, último ano com números publicados, é de menos 18.8%. Ao contrário do que se temeu, não houve subida no tempo de espera por consulta nem na idade gestacional média, que cont…",https://www.dn.pt/sociedade/interrupcao-de-gravidez-cai-188-entre-2018-e-2021-aumenta-quota-no-privado-14912218.html,https://static.globalnoticias.pt/dn/image.jpg?brand=DN&type=generate&guid=fd01fc77-34a1-4fb0-aa4f-a5161afa4db7&w=800&h=420&watermark=true&t=20220603002800,2022-06-02T23:38:19Z,"Em 2018, o último ano em relação ao qual foi publicado o relatório sobre interrupção de gravidez (IG) em Portugal, foram efetuadas 14336 até às 10 semanas por vontade da mulher. Era o número mais bai… [+7462 chars]"
3,,Jornaldenegocios.pt,jng@negocios.pt (Jornal de Negócios),"Ana Catarina Mendes critica ""azedume"" de Cavaco","Ministra Adjunta e dos Assuntos Parlamentares considera que o ex-Presidente da República revela ""algum despeito com a maioria absoluta"" do PS.",https://www.jornaldenegocios.pt/economia/politica/detalhe/ana-catarina-mendes-critica-azedume-de-cavaco,https://cdn.jornaldenegocios.pt/images/2022-04/img_1200x676$2022_04_08_11_03_33_426239.jpg,2022-06-05T12:01:30Z,"A ministra Adjunta e dos Assuntos Parlamentares considera que o ex-Presidente da República Cavaco Silva revela ""azedume e ressentimento"" perante o país e defende que um ataque à interrupção voluntári… [+3079 chars]"
4,,Observador.pt,P. Gonçalo Portocarrero de Almada,Pessoas de bem dignificam Portugal,"Sendo, em simultâneo, uma excelente pessoa e um óptimo diplomata, só pode ter sido, de facto, o que foi: um grande senhor.",https://observador.pt/opiniao/pessoas-de-bem-dignificam-portugal/,https://wm.observador.pt/wm-op/wide-circle/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A900%2Fc%3A467%3A467%3Anowe%3A0%3A0%2Fq%3A86%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2017%2F09%2F17062428%2Fcolunista_pgpalmada_467.png,2022-06-03T23:13:07Z,"Tem acesso livre a todos os artigos do Observador por ser nosso assinante.
Na tese apresentada em 1940, para exame no 5º ano jurídico da Faculdade de Direito da Universidade de Lisboa, Álvaro Cunhal… [+9034 chars]"
5,,Observador.pt,Maria Helena Costa,"Vida, educação e dignidade","O que era do foro íntimo, como a sexualidade, tem vindo a tornar-se político. Há quem se queixe de que os alunos não dizem quais são as suas preferências sexuais e, pelos vistos, isso é muito mau.",https://observador.pt/opiniao/vida-educacao-e-dignidade/,https://wm.observador.pt/wm-op/wide-circle/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A900%2Fc%3A518%3A518%3Anowe%3A33%3A10%2Fq%3A86%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2022%2F01%2F05105301%2Fmaria-helena-costa-130.jpg,2022-06-03T23:03:06Z,"Tem acesso livre a todos os artigos do Observador por ser nosso assinante.
Nos próximos dias 10, 11 e 12 de Junho, decorrerá em Viana do Castelo, a cidade que tem um coração do tamanho do Minho, uma… [+5722 chars]"
6,,Observador.pt,Rita Pereira Carvalho,Abortos registam a maior descida desde que a lei foi aprovada,O número de interrupções voluntárias da gravidez foi o mais baixo dos últimos 15 anos. Grupo etário que realizou mais abortos continua a ser entre os 20 e os 24 anos.,https://observador.pt/2022/06/03/abortos-registam-a-maior-descida-desde-que-a-lei-foi-aprovada/,https://wm.observador.pt/wm/obs/l/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A770%3A403%2Fc%3A2000%3A1126%3Anowe%3A0%3A26%2Fq%3A85%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2017%2F12%2F07114605%2F7320625.jpg,2022-06-03T07:00:44Z,"Tem acesso livre a todos os artigos do Observador por ser nosso assinante.
Os dados provisórios do relatório da Direção-Geral da Saúde (DGS) indicam que o número de interrupções voluntárias da gravi… [+1007 chars]"
7,,Observador.pt,Agência Lusa,Ministra Ana Catarina Mendes critica “azedume e ressentimento” de Cavaco Silva,"Para a ministra Adjunta e dos Assuntos Parlamentares, o ex-Presidente da República ""limita-se a dizer que está tudo mal. E, por isso, há algum despeito com a maioria absoluta"" do PS.",https://observador.pt/2022/06/05/ministra-ana-catarina-mendes-critica-azedume-e-ressentimento-de-cavaco-silva/,https://wm.observador.pt/wm/obs/l/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A770%3A403%2Fc%3A2000%3A1124%3Anowe%3A0%3A104%2Fq%3A85%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2022%2F06%2F01171649%2F38672159.jpg,2022-06-05T13:13:32Z,A ministra Adjunta e dos Assuntos Parlamentares considera que o ex-Presidente da República Cavaco Silva revela “azedume e ressentimento” perante o país e defende que um ataque à interrupção voluntári… [+3351 chars]
8,,Observador.pt,Raquel Abecasis,"João Seabra 1949/2022: “Esta é a coisa estupenda, provocatória e absoluta”","Na juventude dizia-se que chegaria a primeiro-ministro, o amigo Marcelo Rebelo de Sousa a Cardeal. Não aconteceu mas o padre João Seabra distinguir-se-ia como padre de verbo fácil e temperamento forte",https://observador.pt/especiais/esta-e-a-coisa-estupenda-provocatoria-e-absoluta/,https://wm.observador.pt/wm/obs/l/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A770%3A403%2Fc%3A1285%3A722%3Anowe%3A715%3A130%2Fq%3A85%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2022%2F06%2F03224029%2F16969031.jpg,2022-06-04T05:43:26Z,"Tem acesso livre a todos os artigos do Observador por ser nosso assinante.
Esta é a coisa estupenda, provocatória e absoluta que Jesus diz de si mesmo: Eu sou a Verdade.
E é disso, da verdade, que … [+6276 chars]"
9,,Cmjornal.pt,portal@cmjornal.pt (Correio da Manhã),Falsas consciências,Candidato ao Tribunal Constitucional foi chumbado pelos seus pares por opiniões contrárias à despenalização do aborto.,https://www.cmjornal.pt/opiniao/colunistas/joao-pereira-coutinho/detalhe/falsas-consciencias,https://cdn.cmjornal.pt/images/2017-09/img_100x100$2017_09_01_03_40_00_663659.png,2022-06-03T23:30:00Z,"João Pereira Coutinho
Candidato ao Tribunal Constitucional foi chumbado pelos seus pares por opiniões contrárias à despenalização do aborto."
