,id,name,author,title,description,url,urlToImage,publishedAt,content
0,,BBC News,https://www.facebook.com/bbcnews,O que a história de fracasso do viagra feminino ensina sobre a sexualidade das mulheres,Não foi por falta de tentativa: a indústria farmacêutica gastou milhões em busca de 'pílula rosa' - mas nunca conseguiu emplacar.,https://www.bbc.com/portuguese/geral-61654839,https://ichef.bbci.co.uk/news/1024/branded_portuguese/FFF9/production/_124992556_gettyimages-1053783564.jpg,2022-06-04T17:30:41Z,"<ul><li>Camilla Veras Mota - @cavmota</li><li>Da BBC News Brasil em São Paulo</li></ul>
Crédito, Getty Images
O viagra chegou às prateleiras em 1998 e se tornou um sucesso praticamente instantâneo … [+18018 chars]"
1,,BBC News,https://www.facebook.com/bbcnews,Como regime de Kim Jong-un está reagindo à tomada da Coreia do Norte pela covid,"O governo norte-coreado diz que tem a situação sob controle, mas o que realmente se sabe sobre o tamanho da crise?",https://www.bbc.com/portuguese/internacional-61678378,https://ichef.bbci.co.uk/news/1024/branded_portuguese/BCA0/production/_124988284_kjueu2hq.jpg,2022-06-05T15:28:10Z,"<ul><li>Jean Mackenzie, Hosu Le e equipe do Reality Check</li><li>BBC News</li></ul>
Crédito, Korean Central Television 
Legenda da foto, Pôster norte-coreano pergunta: 'camarada, você está seguind… [+9081 chars]"
2,,Viomundo.com.br,Redação,"Cimi: A falta de água potável, remédios e de assistência médica ameaça a vida dos povos indígenas no Maranhão","Descaso do poder público com a saúde indígena
O post Cimi: A falta de água potável, remédios e de assistência médica ameaça a vida dos povos indígenas no Maranhão apareceu primeiro em Viomundo.",https://www.viomundo.com.br/denuncias/cimi-a-falta-de-agua-potavel-remedios-e-de-assistencia-medica-ameaca-a-vida-dos-povos-indigenas-no-maranhao.html,https://www.viomundo.com.br/wp-content/uploads/2022/06/escassez-de-remedios-nas-unidades-basicas-de-saude-indigena.-foto-itahu-ka-apor-scaled-001.jpg,2022-06-05T15:50:20Z,"Descaso do poder público e desassistência à saúde colocam em risco a vida de povos indígenas no Maranhão
Falta de água potável, escassez de remédios e desassistência médica estão entre os principais… [+9019 chars]"
3,,Uol.com.br,Gabriela Vinhal,,"O ministro da Defesa, general Paulo Sérgio Nogueira de Oliveira, foi convocado a ir na quarta-feira (8) à Comissão de Fiscalização Financeira e Controle da Câmara para prestar esclarecimentos sobre a compra de 35.320 comprimidos de Viagra pelas Forças Arm",https://noticias.uol.com.br/politica/ultimas-noticias/2022/06/03/camara-ministro-da-defesa-explica-compra-de-viagra-por-forcas-armadas.htm,https://conteudo.imguol.com.br/aa/2019/01/11/americano-se-empolga-exagera-na-dose-de-viagra-e-desenvolve-doenca-sem-cura-na-visao-1547251503707_615x300.png,2022-06-03T19:50:18Z,"O ministro da Defesa, general Paulo Sérgio Nogueira de Oliveira, foi convocado a ir na quarta-feira (8) à Comissão de Fiscalização Financeira e Controle da Câmara para prestar esclarecimentos sobre a… [+2450 chars]"
4,,Uol.com.br,Gabriela Vinhal,,"Em um ofício enviado à Câmara dos Deputados, o Ministério da Defesa justificou que a compra de 35 mil comprimidos de um medicamento genérico do Viagra foi feita para tratar 225 pacientes desde 2020.Encaminhado na quinta-feira (2), o documento, ao qual o U",https://noticias.uol.com.br/politica/ultimas-noticias/2022/06/04/defesa-diz-que-tratou-225-pessoas-apos-comprar-35-mil-comprimidos-de-viagra.htm,https://conteudo.imguol.com.br/c/entretenimento/b7/2018/03/27/viagra-1522154790984_v2_615x300.jpg,2022-06-04T09:06:57Z,"Em um ofício enviado à Câmara dos Deputados, o Ministério da Defesa justificou que a compra de 35 mil comprimidos de um medicamento genérico do Viagra foi feita para tratar 225 pacientes desde 2020.… [+2798 chars]"
5,,Expresso.pt,"Helena Bento, Tiago Miranda",Henrique Prata Ribeiro: “Gostaria que o novo plano de saúde mental dos Açores fosse um exemplo a nível internacional”,"O novo Programa Regional para a Saúde Mental dos Açores conta com a colaboração dos “sectores público, privado e social” e apresenta medidas como a implementação de um sistema de videoconferência para colmatar a falta de recursos humanos e o recrutamento de p…",https://expresso.pt/sociedade/2022-06-02-Henrique-Prata-Ribeiro-Gostaria-que-o-novo-plano-de-saude-mental-dos-Acores-fosse-um-exemplo-a-nivel-internacional-5e007937,https://images.impresa.pt/expresso/2022-06-02-henrique-prata-ribeiro-ae1b0e00/1.91x1?wm=true,2022-06-02T19:38:11Z,"Com um ""défice muito grande"" de psiquiatras metade do que é recomendado a nível internacional e uma taxa de suicídio que é superior à média em Portugal há vários anos, a região dos Açores assumiu o c… [+12408 chars]"
6,globo,Globo,,Vendas de antidepressivos genéricos no Brasil sobem mais de 50% em dois anos de pandemia,"Nos quatro primeiros meses do ano, o mercado total de genéricos cresceu 6,4% no país, depois da alta de cerca de 6% em 2021 As vendas de antidepressivos genéricos no Brasil cresceram expressivos 55,6% em dois anos de pandemia, confirmando que a covid-19 afeto…",https://valor.globo.com/empresas/noticia/2022/06/04/vendas-de-antidepressivos-genricos-no-brasil-sobem-mais-de-50-pontos-percentuais-em-dois-anos-de-pandemia.ghtml,https://s2.glbimg.com/aViQRHvoW6D5u8nfU16ejcAZf2U=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2022/J/y/IPmcpQStOMAY1Q2NA40Q/james-yarema-kdginc0sdei-unsplash.jpg,2022-06-04T17:47:48Z,"As vendas de antidepressivos genéricos no Brasil cresceram expressivos 55,6% em dois anos de pandemia, confirmando que a covid-19 afetou também a saúde mental das pessoas, segundo levantamento da Ass… [+162 chars]"
7,,Jornaleconomico.pt,Ana Pina,"Economia Azul, um olhar a partir de Portugal","O trabalho que Portugal tem vindo a fazer de estudo permanente e dedicado do seu “Mar Portugal”, nomeadamente no quadro do alargamento da plataforma continental que corre atualmente nas Nações Unidas, é extremamente relevante. Portugal continua a ser um país …",https://jornaleconomico.pt/noticias/economia-azul-um-olhar-a-partir-de-portugal-901280,https://jornaleconomico.pt/wp-content/uploads/2022/06/Duarte-Alves_final.png,2022-06-02T23:16:01Z,"Há uns anos, quando trabalhava na Delegação de Portugal junto da OCDE, chegou-me às mãos um relatório que dizia que a República Checa era uma das campeãs europeias em aquacultura. Estranhei: um país … [+10709 chars]"
8,,Ig.com.br,saude@igcorp.com.br (BBC News Brasil),Covid: como regime de Kim Jong-un está reagindo ao aumento de casos,"O governo norte-coreado diz que tem a situação sob controle, mas o que realmente se sabe sobre o tamanho da crise?",https://saude.ig.com.br/2022-06-05/covid--como-regime-de-kim-jong-un-esta-reagindo-ao-aumento-de-casos.html,https://i0.statig.com.br/bancodeimagens/3e/3t/pf/3e3tpfdt2avatv6joqutdm8xo.jpg,2022-06-05T18:59:31Z,"Jean Mackenzie, Hosu Le e equipe do Reality Check - BBC News A Coreia do Norte anunciou seu primeiro caso de covid no início de maio. 
O governo do país afirma que o surto está sob controle, mas os … [+8950 chars]"
9,,Terra.com.br,BBC News Brasil,Como regime de Kim Jong-un está reagindo à tomada da Coreia do Norte pela covid,"O governo norte-coreado diz que tem a situação sob controle, mas o que realmente se sabe sobre o tamanho da crise?","https://www.terra.com.br/noticias/mundo/como-regime-de-kim-jong-un-esta-reagindo-a-tomada-da-coreia-do-norte-pela-covid,5c771ab2ac31e56c7b27a1df09915c44jcca0v0q.html",https://p2.trrsf.com/image/fget/cf/1200/630/middle/images.terra.com/2022/06/05/297350985-124988283kjueu2hq.jpg,2022-06-05T16:48:32Z,"A Coreia do Norte anunciou seu primeiro caso de covid no início de maio. 
O governo do país afirma que o surto está sob controle, mas os detalhes permanecem um mistério. A BBC reuniu informações con… [+8402 chars]"
