,id,name,author,title,description,url,urlToImage,publishedAt,content
0,,Tecmundo.com.br,Lucas Takeda,O que é preciso saber antes de doar sangue?,"A doação de sangue é uma prática segura, solidária e que tem um efeito prático muito importante: uma única doação pode salvar até quatro vidas, segundo o Ministério da Saúde. A doação de sangue é fundamental para o tratamento de vítimas de acidentes e pacient…",https://www.tecmundo.com.br/ciencia/239604-preciso-saber-doar-sangue.htm,https://tm.ibxk.com.br/2022/05/30/30095232640084.jpg,2022-06-02T13:00:01Z,"A doação de sangue é uma prática segura, solidária e que tem um efeito prático muito importante: uma única doação pode salvar até quatro vidas, segundo o Ministério da Saúde. A doação de sangue é fun… [+4802 chars]"
1,,Www.jn.pt,Delfim Machado,Portugal entre os países onde o consumo de crack mais aumentou,"Há um fenómeno de aumento de consumo de cocaína-crack nos países do sul e ocidente da Europa ao qual Portugal não é imune. O relatório do Observatório Europeu da Droga e da Toxicodependência (EMCDDA), divulgado esta terça-feira, identificou Portugal como um d…",https://www.jn.pt/nacional/portugal-entre-os-paises-onde-o-consumo-de-crack-mais-aumentou-14938536.html,https://static.globalnoticias.pt/jn/image.jpg?brand=JN&type=generate&guid=48039c17-0931-4518-a256-a3ec510ed50a&w=800&h=420&watermark=true&t=20220614100000,2022-06-14T09:08:30Z,Há um fenómeno de aumento de consumo de cocaína-crack nos países do sul e ocidente da Europa ao qual Portugal não é imune. O relatório do Observatório Europeu da Droga e da Toxicodependência (EMCDDA)… [+3949 chars]
2,,Abril.com.br,Paula Felix,Mundo registra 18 mortes e 920 casos de hepatite misteriosa em crianças,Boletim atualizado da OMS informa que 33 países registraram doença de origem desconhecida e 45 pacientes precisaram de transplante de fígado,https://veja.abril.com.br/saude/mundo-registra-18-mortes-e-920-casos-de-hepatite-misteriosa-em-criancas/,https://veja.abril.com.br/wp-content/uploads/2016/05/figado-hepatite-casos-sao-paulo-20110517-original15.jpeg?quality=70&strip=info&w=620&h=349&crop=1,2022-06-26T18:59:00Z,"O número de mortes causadas pela hepatite de origem desconhecida em crianças subiu de nove para 18, segundo a atualização da Organização Mundial da Saúde (OMS) com dados até 22 de junho. O número de … [+1695 chars]"
3,,Abril.com.br,Paula Felix,Minas Gerais tem caso suspeito de hepatite misteriosa em crianças,"País tem um caso provável no Mato Grosso do Sul e outros 69 episódios são investigados, segundo Ministério da Saúde",https://veja.abril.com.br/saude/minas-gerais-tem-caso-suspeito-de-hepatite-misteriosa-em-criancas/,https://veja.abril.com.br/wp-content/uploads/2016/05/figado-hepatite-casos-sao-paulo-20110517-original17.jpeg?quality=70&strip=info&w=620&h=349&crop=1,2022-06-07T22:52:07Z,"O Ministério da Saúde informou terça-feira, 7, que apura um caso suspeito da hepatite fulminante de origem desconhecida em crianças em Minas Gerais e que 69 episódios estão em investigação. Outros 36… [+2572 chars]"
4,,Abril.com.br,Paula Felix,Rio de Janeiro tem caso provável de hepatite misteriosa em crianças,"De acordo com o Ministério da Saúde, registro é o segundo do país, que também investiga três casos suspeitos da doença",https://veja.abril.com.br/saude/rio-de-janeiro-tem-caso-provavel-de-hepatite-misteriosa-em-criancas/,https://veja.abril.com.br/wp-content/uploads/2016/05/figado-hepatite-casos-sao-paulo-20110517-original15.jpeg?quality=70&strip=info&w=620&h=349&crop=1,2022-06-13T16:08:18Z,"O Ministério da Saúde informou nesta segunda-feira, 13 que mais um caso provável da hepatite fulminante de origem desconhecida em crianças foi registrado no país, desta vez no Rio de Janeiro. No dia … [+2377 chars]"
5,,Observador.pt,Cátia Rocha,Quem quer almoçar com Warren Buffett? Leilão solidário rende mais de 19 milhões de dólares,"A identidade do licitante é desconhecida, mas sabe-se que abriu os cordões à bolsa para almoçar com Warren Buffett, o CEO da Berkshire Hathaway, num leilão solidário.",https://observador.pt/2022/06/18/quem-quer-almocar-com-warren-buffett-leilao-solidario-rende-mais-de-19-milhoes-de-dolares/,https://wm.observador.pt/wm/obs/l/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A770%3A403%2Fc%3A2000%3A1126%3Anowe%3A0%3A130%2Fq%3A85%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2019%2F10%2F04152007%2F19079019.jpg,2022-06-18T11:46:43Z,"Tem acesso livre a todos os artigos do Observador por ser nosso assinante.
Não há almoços grátis, diz a expressão popular, que se aplica como uma luva ao resultado do leilão solidário de Warren Buff… [+2069 chars]"
6,,Uol.com.br,,,Paciente do Mato Grosso do Sul tem quadro compatível com a doença; Ministério da Saúde investiga 68 casos suspeitos e seis mortes;,https://www1.folha.uol.com.br/equilibrioesaude/2022/06/brasil-tem-primeiro-caso-provavel-de-hepatite-misteriosa.shtml,https://f.i.uol.com.br/fotografia/2022/05/23/1653318551628ba39794b28_1653318551_3x2_rt.jpg,2022-06-01T15:09:11Z,"O Brasil registrou o primeiro caso provável de hepatite misteriosa registrado em Ponta Porã, no Mato Grosso do Sul. Segundo o Ministério da Saúde, porém, ainda não há casos confirmados da doença no p… [+2087 chars]"
7,,Uol.com.br,,,"Ao ouvir que um em cada três brasileiros tem o problema, percebi de cara o desafio: como tocar no assunto se, para começo de conversa, cada doutor fala dele de um jeito?Doença hepática gordurosa não alcoólica, dizem uns. Mas seria melhor chamar",https://www.uol.com.br/vivabem/colunas/lucia-helena/2022/06/28/gordura-no-figado-por-que-voce-deve-levar-toda-esteatose-hepatica-a-serio.htm,https://conteudo.imguol.com.br/c/entretenimento/fc/2022/06/27/mulher-jovem-segurando-imagem-ilustrativo-de-um-figado-cercado-de-comidas-saudaveis-1656346990840_v2_615x300.jpg,2022-06-28T16:36:18Z,"Ao ouvir que um em cada três brasileiros tem o problema, percebi de cara o desafio: como tocar no assunto se, para começo de conversa, cada doutor fala dele de um jeito?
Doença hepática gordurosa nã… [+8947 chars]"
8,,Metropoles.com,Samara Schwingel,Hepatite misteriosa: Ministério da Saúde descarta caso suspeito do DF,"Caso foi notificado como suspeito na última semana. Nesta quarta-feira (29/6), a pasta federal publicou boletim descartando a possibilidade
O post Hepatite misteriosa: Ministério da Saúde descarta caso suspeito do DF apareceu primeiro em Metrópoles.",https://www.metropoles.com/distrito-federal/hepatite-misteriosa-ministerio-da-saude-descarta-caso-suspeito-do-df,https://uploads.metropoles.com/wp-content/uploads/2022/04/27121738/Ilustracao-de-um-figado-com-hepatite.jpg,2022-06-30T05:22:42Z,"A hepatite é a inflamação do fígado. Ela pode ser causada por vírus, bactérias, uso excessivo de medicamentos ou consumo de bebida alcoólica. Existem cinco tipos de hepatite: A, B, C, D e E. No entan… [+4086 chars]"
9,,Metropoles.com,Samara Schwingel,Varíola do macaco e hepatite: Saúde do DF aguarda exames laboratoriais,"Testes serão enviados para laboratórios de referência. Não há prazo fixo para os resultados serem liberados 
O post Varíola do macaco e hepatite: Saúde do DF aguarda exames laboratoriais apareceu primeiro em Metrópoles.",https://www.metropoles.com/distrito-federal/variola-do-macaco-e-hepatite-saude-do-df-aguarda-exames-laboratoriais,https://uploads.metropoles.com/wp-content/uploads/2022/06/15154654/variola-dos-macacos-3.jpg,2022-06-22T05:13:59Z,"A hepatite é a inflamação do fígado. Ela pode ser causada por vírus, bactérias, uso excessivo de medicamentos ou consumo de bebida alcoólica. Existem cinco tipos de hepatite: A, B, C, D e E. No entan… [+4086 chars]"
